Section,Question_Number,Question_Text,Forms_Question_Type,Options,Allow_Multiple_Answers,Required,Notes
Section 1: Background & Expectations,1.1,What is your primary research domain?,Choice,"Human genomics|Plant genomics|Animal genomics|Microbial genomics|Multi-organism/comparative genomics|Other (please specify)",No,No,Add "Other" text field
Section 1: Background & Expectations,1.2,Before this workshop how would you rate your experience with machine learning?,Choice,"Beginner (little to no experience)|Intermediate (used ML tools, some understanding of concepts)|Advanced (built and trained models, understand ML theory)|Expert (extensive experience in ML research/development)",No,No,
Section 1: Background & Expectations,1.3,Before this workshop how familiar were you with foundation models (e.g. BERT GPT)?,Choice,"Not familiar at all|Heard of them but never used|Used them for NLP/vision tasks|Used genomic foundation models before|Developed/fine-tuned foundation models",No,No,
Section 1: Background & Expectations,1.4,What were your primary goals for attending this workshop?,Choice,"Understand what genomic foundation models are|Learn how to apply GFMs to my research|Gain hands-on experience with GFM tools|Compare different GFM architectures|Learn best practices for fine-tuning|Network with others working on similar problems|Other (please specify)",Yes,No,Multi-select; add "Other" text field
Section 1: Background & Expectations,1.5,Were your goals met?,Choice,"Fully met|Mostly met|Partially met|Not met",No,No,
Section 1: Background & Expectations,1.5b,Please explain your answer to the goals question.,Text (Long),,,No,Subtitle/follow-up to Q1.5
Section 2: Course Content & Structure,2.1,Overall how would you rate the workshop?,Choice,"Excellent|Very good|Good|Fair|Poor",No,Yes,
Section 2: Course Content & Structure,2.2,The workshop pacing was:,Choice,"Too fast|Slightly fast|Just right|Slightly slow|Too slow",No,Yes,
Section 2: Course Content & Structure,2.3,The technical difficulty level was:,Choice,"Too advanced (hard to follow)|Appropriately challenging|About right for my level|Too basic (already knew most content)",No,Yes,
Section 2: Course Content & Structure,2.4 - Day 1 Morning,Introduction to Genomic Foundation Models,Rating (1-5),,,No,"Use Likert group for all Day 1 Morning items: label 1=Poor, 5=Excellent"
Section 2: Course Content & Structure,2.4 - Day 1 Morning,Understanding embeddings and representations,Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 1 Morning,Model selection and comparison,Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 1 Afternoon,HuggingFace inference examples,Rating (1-5),,,No,Start new Likert group for Day 1 Afternoon
Section 2: Course Content & Structure,2.4 - Day 1 Afternoon,Token embeddings and feature extraction,Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 1 Afternoon,Sequence embeddings hands-on,Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 2 Morning,From research question to fine-tuned model,Rating (1-5),,,No,Start new Likert group for Day 2 Morning
Section 2: Course Content & Structure,2.4 - Day 2 Morning,Data preparation and splitting strategies,Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 2 Morning,Understanding staged fine-tuning,Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 2 Afternoon,K562 enhancer prediction (classification),Rating (1-5),,,No,Start new Likert group for Day 2 Afternoon
Section 2: Course Content & Structure,2.4 - Day 2 Afternoon,K562 enhancer activity (regression),Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 2 Afternoon,Model interpretation and saliency analysis,Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.4 - Day 2 Afternoon,Comparing different GFMs (NT HyenaDNA DNABERT2),Rating (1-5),,,No,Part of Likert group
Section 2: Course Content & Structure,2.5,Which session/topic was MOST valuable to you?,Text (Long),,,No,
Section 2: Course Content & Structure,2.6,Which session/topic was LEAST valuable to you?,Text (Long),,,No,
Section 2: Course Content & Structure,2.7,What topics would you have liked to see covered in more depth?,Text (Long),,,No,
Section 2: Course Content & Structure,2.8,What topics could have been covered more briefly or omitted?,Text (Long),,,No,
Section 3: Hands-on Notebooks & Practical Exercises,3.1,The Jupyter notebooks were:,Choice,"Very helpful for learning|Somewhat helpful|Neither helpful nor unhelpful|Not very helpful|Not helpful at all",No,No,
Section 3: Hands-on Notebooks & Practical Exercises,3.2,The notebooks were well-documented and easy to follow:,Choice,"Strongly agree|Agree|Neutral|Disagree|Strongly disagree",No,No,
Section 3: Hands-on Notebooks & Practical Exercises,3.3 - HuggingFace inference examples,HuggingFace inference examples,Rating (1-5),,,No,"Use Likert group for all 3.3 items: label 1=Not useful, 5=Very useful"
Section 3: Hands-on Notebooks & Practical Exercises,3.3 - Token embeddings,Token embeddings notebooks,Rating (1-5),,,No,Part of Likert group
Section 3: Hands-on Notebooks & Practical Exercises,3.3 - K562 classification,K562 classification notebooks (NT HyenaDNA DNABERT2),Rating (1-5),,,No,Part of Likert group
Section 3: Hands-on Notebooks & Practical Exercises,3.3 - K562 regression,K562 regression notebooks (NT HyenaDNA),Rating (1-5),,,No,Part of Likert group
Section 3: Hands-on Notebooks & Practical Exercises,3.4,The biological use case (K562 enhancer prediction) was:,Choice,"Very relevant to my research|Somewhat relevant|Neutral - good for learning but not directly applicable|Not very relevant to my domain|Would have preferred a different use case",No,No,
Section 3: Hands-on Notebooks & Practical Exercises,3.4b,If you would have preferred a different use case what would have been more relevant?,Text (Short),,,No,Show if "Would have preferred a different use case" selected in 3.4
Section 3: Hands-on Notebooks & Practical Exercises,3.5,The comparison between GFM approaches and CNN baselines was:,Choice,"Very insightful - highlighted when to use GFMs|Helpful for understanding model performance|Interesting but not critical|Unnecessary - should focus only on GFMs",No,No,
Section 3: Hands-on Notebooks & Practical Exercises,3.6,Did you encounter technical issues running the notebooks?,Choice,"No issues|Minor issues (easily resolved)|Moderate issues (took time to resolve)|Major issues (couldn't complete exercises)",No,No,
Section 3: Hands-on Notebooks & Practical Exercises,3.6b,If you had technical issues please describe them:,Text (Long),,,No,Show if not "No issues" selected in 3.6
Section 4: Bridging the ML Knowledge Gap,4.1,The workshop's approach to teaching ML concepts to bioinformaticians was:,Choice,"Excellent - well-paced with good explanations|Good - could follow with some effort|Adequate - struggled in some areas|Insufficient - needed more ML background|Too basic - could have moved faster",No,No,
Section 4: Bridging the ML Knowledge Gap,4.2,Which ML concepts did you find most challenging?,Choice,"Difference between classification and regression|Understanding embeddings and representations|Loss functions and optimization|Overfitting and regularization|Fine-tuning vs. training from scratch|Model evaluation metrics (AUROC, Pearson, etc.)|Staged fine-tuning and learning rates|Model interpretability and saliency|None - all concepts were clear|Other (please specify)",Yes,No,Multi-select; add "Other" text field
Section 4: Bridging the ML Knowledge Gap,4.3,Please rank what helped most in understanding the ML concepts (1 = most helpful):,Ranking,"Lecture explanations|Visual diagrams and figures|Hands-on coding exercises|Comparing different models/approaches|Biological context and use cases",,No,Use Ranking question type
